,BRAC University,,,,,,,,
,Consultation Hour Planner,,,,,,,,
,,Faculty:,#N/A,,Initial,MLDH,,,
,,Programme:,CSE,,Semester:,Fall 2025,,,
,,Email:,#N/A,,#N/A,#N/A,,,
,,,,,,,,,
,8:00 AM,9:30 AM,11:00 AM,12:30 PM,2:00 PM,3:30 PM,5:00 PM,6:00 PM,7:30 PM
Saturday,,,,Consultation,,,,,
Sunday,,,,,,,,,
Monday,,,,,,,,,
Tuesday,,,Consultation,,,,,,
Wednesday,,,,,Consultation,,,,
Thursday,,,,Consultation,,,,,
Friday,,,,,,,,,
**Each slot is of 1 hour 20 minutes,,,,,,,,,
**Please dm me on Slack/Discord before coming to the consultation.,,,,,,,,,
