,BRAC University,,,,,,,,
,Consultation Hour Planner,,,,,,,,
,,Faculty:,Dr. Md. Sakir Hossain,,Initial,MSAH,,,
,,Programme:,CSE,,Semester:,Spring 2026,,,
,,Email:,sakir.hossain@bracu.ac.bd,,Room:,4G17,,,
,,,,,,,,,
,8:00 AM,9:30 AM,11:00 AM,12:30 PM,2:00 PM,3:30 PM,5:00 PM,6:00 PM,7:30 PM
Saturday,,,,,,,,,
Sunday,,,Research,Consultation,Consultation,"CSE421-05
09E-20T,CSE421-06
09E-20T,CSE421-07
09E-20T",,,
Monday,,,Research,Thesis (UG),Consultation,Consultation,,,
Tuesday,,,Research,Thesis (UG),Consultation,"CSE421-05
09E-20T,CSE421-06
09E-20T,CSE421-07
09E-20T",,,
Wednesday,,,Research,Research,Thesis (UG),Consultation,,,
Thursday,,,Research,Research,Research,Research,,,
Friday,,,,,,,,,
**Each slot is of 1 hour 20 minutes,,,,,,,,,
**You can edit this footnote,,,,,,,,,
