,BRAC University,,,,,,,,
,Consultation Hour Planner,,,,,,,,
,,Faculty:,Dr. Swakkhar Shatabda,,Initial,SWK,,,
,,Programme:,CSE,,Semester:,Summer 2026,,,
,,Email:,swakkhar.shatabda@bracu.ac.bd,,Room:,4G28,,,
,,,,,,,,,
,8:00 AM,9:30 AM,11:00 AM,12:30 PM,2:00 PM,3:30 PM,5:00 PM,6:00 PM,7:30 PM
Saturday,,,,,,,,,
Sunday,"CSE443-01
10A-05C",Consultation,Consultation,Consultation,Thesis,Thesis,,,
Monday,Research,Research,Research,Thesis,Thesis,Consultation,,"CSE753-01
09A-02C
MSc Class","CSE753-01
09A-02C"
Tuesday,"CSE443-01
10A-05C",Consultation,Consultation,Consultation,Thesis,Thesis,,,
Wednesday,Research,Research,Research,Thesis,Thesis,Consultation,,,
Thursday,Research,Research,Research,Research,Research,Research,,,
Friday,,,,,,,,,
**Each slot is of 1 hour 20 minutes,,,,,,,,,
**You can edit this footnote,,,,,,,,,
