Course,Theory Initial,Theory Day,"Theory Time
(1hr 20min)",Theory Room,Lab Faculty,Lab Day,Lab Time (3hr),Lab Room
CSE101-01,NZRF,MON+WED,3:30 PM,09H-35C,"SBHN,ESF",SUN,11:00 AM,FT11-03L
CSE101-02,SBHN,SUN+TUE,2:00 PM,09A-06C,"RBR,ANV",MON,2:00 PM,FT11-04L
CSE101-03,RBR,SUN+TUE,11:00 AM,09B-12C,"ESF,ANV",WED,2:00 PM,FT11-03L
CSE101-04,RBR,SUN+TUE,12:30 PM,09B-12C,"NKMA,NMP",THU,8:00 AM,FT11-04L
CSE101-05,SBHN,SUN+TUE,3:30 PM,09A-06C,"CMHH,SLAR",SAT,8:00 AM,FT11-03L
CSE101-06,NNTN,SAT+THU,12:30 PM,09B-12C,"SBHN,AQJ",TUE,11:00 AM,FT11-03L
CSE101-07,FDM,MON+WED,2:00 PM,09D-17C,"NQM,SLAR",SUN,8:00 AM,12F-31L
CSE103-01,XXX,XXX,11:00 AM,XXX,"SLAR,SBHN",SAT,2:00 PM,11B-20L
CSE103-02,XXX,XXX,12:30 PM,XXX,"CMHH,ANT",SAT,2:00 PM,FT11-04L
CSE110-01,ANT,SUN+TUE,11:00 AM,10B-17C,"ANT,ART",THU,8:00 AM,09B-10L
CSE110-02,STNM,SUN+TUE,12:30 PM,10B-17C,"AOHE,RKBM",WED,8:00 AM,09B-08L
CSE110-03,STNM,SUN+TUE,3:30 PM,10B-17C,"YND,ATY",WED,11:00 AM,09B-08L
CSE110-04,SBHN,MON+WED,11:00 AM,10B-16C,"CTRD,SLAR",THU,8:00 AM,09B-08L
CSE110-05,TAW,MON+WED,11:00 AM,10A-05C,"CAKM,AOHE",THU,11:00 AM,09B-08L
CSE110-06,ADU,MON+WED,8:00 AM,10A-04C,"CTFZ,WLV",THU,2:00 PM,09B-08L
CSE110-07,ADU,MON+WED,9:30 AM,10A-04C,"AAF,NQM",THU,8:00 AM,09B-09L
CSE110-08,KNI,SUN+TUE,11:00 AM,09A-02C,"DFD,KNI",WED,2:00 PM,09B-09L
CSE110-09,KNI,SUN+TUE,12:30 PM,09A-02C,"MVH,CTRD",WED,8:00 AM,09B-09L
CSE110-10,WLV,MON+WED,9:30 AM,10B-13C,"SLAR,CTRD",THU,11:00 AM,09F-27L
CSE110-11,MAF,MON+WED,11:00 AM,10B-13C,"CDTB,CQAE",THU,2:00 PM,09B-09L
CSE110-12,RKBM,SUN+TUE,3:30 PM,09H-35C,"CQAE,RKBM",WED,11:00 AM,09B-09L
CSE110-13,RKBM,SUN+TUE,2:00 PM,09H-35C,"MVH,AAF",WED,2:00 PM,09B-08L
CSE110-14,MVH,SAT+THU,8:00 AM,07H-26C,"ART,CAKM",WED,8:00 AM,09B-10L
CSE110-15,WLV,MON+WED,8:00 AM,09A-04C,"MVH,ANNH",THU,11:00 AM,09B-09L
CSE110-16,ANT,SUN+TUE,8:00 AM,09A-04C,"CQAE,ATY",WED,2:00 PM,09F-24L
CSE110-17,AOHE,SUN+TUE,12:30 PM,09A-04C,"WLV,NQM",THU,11:00 AM,10E-27L
CSE110-18,AOHE,SUN+TUE,3:30 PM,09A-05C,"AAF,CAKM",THU,2:00 PM,09B-11L
CSE110-19,THR,SUN+TUE,8:00 AM,10B-16C,"PRC,CTRD",WED,2:00 PM,12F-30L
CSE110-20,CPTH,MON+WED,8:00 AM,09C-13C,"STNM,SSKD",THU,2:00 PM,09E-21L
CSE111-01,TAW,SUN+TUE,11:00 AM,10A-05C,"TAW,AOHE",WED,2:00 PM,12F-32L
CSE111-02,TAW,SUN+TUE,12:30 PM,10A-05C,"WLV,CAKM",WED,2:00 PM,12D-27L
CSE111-03,TAW,MON+WED,12:30 PM,10A-05C,"TAW,MAF",THU,11:00 AM,12F-32L
CSE111-04,ZMD,SUN+TUE,2:00 PM,09D-17C,"AVB,CABS",WED,8:00 AM,09B-11L
CSE111-05,ADU,SUN+TUE,11:00 AM,09H-35C,"CAND,FEK",WED,11:00 AM,09B-10L
CSE111-06,ADU,SUN+TUE,12:30 PM,09H-35C,"MAFZ,CSSD",WED,2:00 PM,09B-11L
CSE111-07,KNI,MON+WED,11:00 AM,09A-03C,"CAND,ZMD",TUE,11:00 AM,09B-08L
CSE111-08,KNI,MON+WED,9:30 AM,09A-03C,"KNI,ATY",TUE,2:00 PM,09B-08L
CSE111-09,AIB,MON+WED,9:30 AM,10A-05C,"CAND,ATY",TUE,8:00 AM,09B-09L
CSE111-10,NMP,MON+WED,2:00 PM,09H-33C,"FGZ,AVB",TUE,11:00 AM,09B-09L
CSE111-11,CAKM,SUN+TUE,9:30 AM,10B-16C,"CNAJ,CAND",WED,8:00 AM,09E-21L
CSE111-12,MAF,SUN+TUE,12:30 PM,09A-01C,"TMD,ADU",WED,11:00 AM,09B-11L
CSE111-13,RKBM,MON+WED,2:00 PM,10B-15C,"MAF,NFF",TUE,2:00 PM,09B-09L
