CSE401,Concrete Mathematics
CSE402,Optimization
CSE433,Machine Learning for Healthcare
CSE434,Machine Learning for Finance
CSE435,Reinforcement Learning
CSE435,Data Visualization
CSE437,Data Science: Coding with Real World Data
CSE438,Applied Data Science for Practitioners
CSE439,Machine Vision
CSE440,Natural Language Processing II
CSE441,Machine Learning II
CSE442,Natural Language Driven UI/UX
CSE443,Bioinformatics I
CSE444,Bioinformatics II
CSE445,Statistical Data Analysis
CSE446,Blockchain and Cryptocurrencies
CSE447,Cryptography and Cryptanalysis
CSE449,"Parallel, Distributed, and High-Performance Computing (HPC)"
CSE450,Advanced Competitive Programming
CSE451,Network Science and Models
CSE452,Computability and Complexity Theory
CSE453,Theory of Computation II
CSE454,Advanced Complexity Theory
CSE455,Topics in Theoretical Computer Science
CSE456,Design and Analysis of Algorithms
CSE457,Randomized Algorithms
CSE458,Quantum Complexity Theory
CSE459,Introduction to Computational Molecular Biology
CSE481,Quantum Computing I
CSE482,Quantum Computing II
CSE483,Software Engineering II
CSE484,Cloud Computing
CSE485,Advanced Cloud Computing
CSE486,WAN Routing and Technologies
CSE487,Web Services
CSE488,Serverless and Microservices
CSE489,Android App Development
CSE492,iOS App Development
CSE493,Enterprise and Software Architecture
CSE494,Advanced Robotics
CSE495,Internet of Things (IoT)
CSE496,Ethical Hacking
CSE497,Computational Cognitive Science
CSE498,Advanced Graphics
CSE499,E-commerce
CSE500,Ethics of Data in Social Context
CSE502,Scientific and Engineering Innovation: Moving Ideas to Impact
CSE503,Project Engineering for Computer Science
CSE504,Workshop for Entrepreneurs and Innovators in the Physical and Computer Sciences
CSE505,"Patents, Copyrights, and Intellectual Property Law for Physical and Computer Scientists"
CSE506,Ethics for Engineers and Scientists
CSE507,Introduction to Design Thinking and Innovation in Engineering
CSE586,Advanced Web Development
